id;fio;bth;em;pass;dr;phone;disc
665;Ivan665;1970-12-31;nas@tam.net665;gg665;2020-05-06;74953222897;9
666;Ivan666;1977-09-20;nas@tam.net666;gg666;2020-12-31;74953222898;29
667;Ivan667;1978-10-28;nas@tam.net667;gg667;2020-12-02;74953222899;45
668;Ivan668;1996-02-17;nas@tam.net668;gg668;2020-07-27;74953222900;59
669;Ivan669;1997-04-16;nas@tam.net669;gg669;2020-04-17;74953222901;7
670;Ivan670;1985-12-28;nas@tam.net670;gg670;2020-12-09;74953222902;85
671;Ivan671;1969-12-16;nas@tam.net671;gg671;2020-01-24;74953222903;37
672;Ivan672;1987-07-10;nas@tam.net672;gg672;2020-03-07;74953222904;57
673;Ivan673;1969-04-27;nas@tam.net673;gg673;2020-02-14;74953222905;6
674;Ivan674;1974-05-06;nas@tam.net674;gg674;2020-04-26;74953222906;1
675;Ivan675;1968-04-18;nas@tam.net675;gg675;2020-10-09;74953222907;62
676;Ivan676;1951-07-17;nas@tam.net676;gg676;2020-08-02;74953222908;40
677;Ivan677;1981-08-22;nas@tam.net677;gg677;2020-07-05;74953222909;61
678;Ivan678;1959-02-03;nas@tam.net678;gg678;2020-02-11;74953222910;87
679;Ivan679;1967-01-09;nas@tam.net679;gg679;2020-09-18;74953222911;77
680;Ivan680;1978-07-14;nas@tam.net680;gg680;2020-08-01;74953222912;43
681;Ivan681;1957-08-14;nas@tam.net681;gg681;2020-08-21;74953222913;100
682;Ivan682;1965-02-19;nas@tam.net682;gg682;2020-02-10;74953222914;75
683;Ivan683;1980-10-25;nas@tam.net683;gg683;2020-02-26;74953222915;57
684;Ivan684;1982-07-16;nas@tam.net684;gg684;2020-06-06;74953222916;77
685;Ivan685;1977-01-22;nas@tam.net685;gg685;2020-08-21;74953222917;19
686;Ivan686;1998-05-04;nas@tam.net686;gg686;2020-09-03;74953222918;48
687;Ivan687;1974-01-03;nas@tam.net687;gg687;2020-12-22;74953222919;92
688;Ivan688;1994-06-04;nas@tam.net688;gg688;2020-10-05;74953222920;4
689;Ivan689;1972-11-25;nas@tam.net689;gg689;2020-02-14;74953222921;20
690;Ivan690;1952-02-24;nas@tam.net690;gg690;2020-08-31;74953222922;79
691;Ivan691;1952-04-26;nas@tam.net691;gg691;2020-12-11;74953222923;67
692;Ivan692;1983-06-07;nas@tam.net692;gg692;2020-12-26;74953222924;33
693;Ivan693;1973-11-24;nas@tam.net693;gg693;2020-05-08;74953222925;40
694;Ivan694;1967-04-20;nas@tam.net694;gg694;2020-11-27;74953222926;85
695;Ivan695;1993-10-30;nas@tam.net695;gg695;2020-02-04;74953222927;4
696;Ivan696;1958-12-05;nas@tam.net696;gg696;2020-10-15;74953222928;1
697;Ivan697;1972-03-10;nas@tam.net697;gg697;2020-01-28;74953222929;88
698;Ivan698;1956-11-25;nas@tam.net698;gg698;2020-01-13;74953222930;1
699;Ivan699;1952-05-16;nas@tam.net699;gg699;2020-08-22;74953222931;43
700;Ivan700;1976-06-14;nas@tam.net700;gg700;2020-06-24;74953222932;9
701;Ivan701;1999-04-05;nas@tam.net701;gg701;2020-11-14;74953222933;91
702;Ivan702;1975-01-03;nas@tam.net702;gg702;2020-01-19;74953222934;63
703;Ivan703;1989-02-07;nas@tam.net703;gg703;2020-08-24;74953222935;51
704;Ivan704;1994-03-12;nas@tam.net704;gg704;2020-10-29;74953222936;98
705;Ivan705;1954-12-28;nas@tam.net705;gg705;2020-11-23;74953222937;39
706;Ivan706;1970-12-18;nas@tam.net706;gg706;2020-10-20;74953222938;21
707;Ivan707;1991-07-15;nas@tam.net707;gg707;2020-07-29;74953222939;67
708;Ivan708;1999-10-13;nas@tam.net708;gg708;2020-04-13;74953222940;9
709;Ivan709;1998-07-13;nas@tam.net709;gg709;2020-04-17;74953222941;32
710;Ivan710;1964-06-20;nas@tam.net710;gg710;2020-10-26;74953222942;82
711;Ivan711;1991-10-02;nas@tam.net711;gg711;2020-08-30;74953222943;30
712;Ivan712;1983-12-09;nas@tam.net712;gg712;2020-02-24;74953222944;67
713;Ivan713;1975-06-04;nas@tam.net713;gg713;2020-07-21;74953222945;84
714;Ivan714;1975-08-17;nas@tam.net714;gg714;2020-01-05;74953222946;75
715;Ivan715;1986-11-08;nas@tam.net715;gg715;2020-10-08;74953222947;69
716;Ivan716;1979-09-02;nas@tam.net716;gg716;2020-10-24;74953222948;25
717;Ivan717;1997-03-19;nas@tam.net717;gg717;2020-06-15;74953222949;26
718;Ivan718;1971-06-16;nas@tam.net718;gg718;2020-03-23;74953222950;71
719;Ivan719;1972-08-19;nas@tam.net719;gg719;2020-02-01;74953222951;24
720;Ivan720;1982-03-11;nas@tam.net720;gg720;2020-02-02;74953222952;16
721;Ivan721;1988-01-08;nas@tam.net721;gg721;2020-12-10;74953222953;32
722;Ivan722;1954-04-24;nas@tam.net722;gg722;2020-05-07;74953222954;34
723;Ivan723;1955-03-02;nas@tam.net723;gg723;2020-11-16;74953222955;90
724;Ivan724;1988-01-23;nas@tam.net724;gg724;2020-04-24;74953222956;79
725;Ivan725;1990-03-19;nas@tam.net725;gg725;2020-11-23;74953222957;74
726;Ivan726;1954-11-05;nas@tam.net726;gg726;2020-01-12;74953222958;88
727;Ivan727;1983-08-05;nas@tam.net727;gg727;2020-10-17;74953222959;9
728;Ivan728;1982-12-30;nas@tam.net728;gg728;2020-07-31;74953222960;73
729;Ivan729;1991-05-12;nas@tam.net729;gg729;2020-02-12;74953222961;68
730;Ivan730;1966-08-04;nas@tam.net730;gg730;2020-11-22;74953222962;65
731;Ivan731;1970-11-11;nas@tam.net731;gg731;2020-03-05;74953222963;16
732;Ivan732;1959-05-10;nas@tam.net732;gg732;2020-11-12;74953222964;64
733;Ivan733;1951-04-29;nas@tam.net733;gg733;2020-04-17;74953222965;86
734;Ivan734;1972-12-27;nas@tam.net734;gg734;2020-01-05;74953222966;100
735;Ivan735;1973-09-19;nas@tam.net735;gg735;2020-12-27;74953222967;4
736;Ivan736;1997-03-01;nas@tam.net736;gg736;2020-06-19;74953222968;41
737;Ivan737;1975-08-19;nas@tam.net737;gg737;2020-02-03;74953222969;96
738;Ivan738;1993-11-24;nas@tam.net738;gg738;2020-10-06;74953222970;33
739;Ivan739;1972-10-14;nas@tam.net739;gg739;2020-11-12;74953222971;71
740;Ivan740;1965-12-06;nas@tam.net740;gg740;2020-09-02;74953222972;44
741;Ivan741;1964-08-11;nas@tam.net741;gg741;2020-06-19;74953222973;41
742;Ivan742;1996-05-08;nas@tam.net742;gg742;2020-11-08;74953222974;8
743;Ivan743;1993-01-05;nas@tam.net743;gg743;2020-09-01;74953222975;14
744;Ivan744;1969-06-09;nas@tam.net744;gg744;2020-05-17;74953222976;33
745;Ivan745;1983-12-24;nas@tam.net745;gg745;2020-05-13;74953222977;76
746;Ivan746;1977-12-29;nas@tam.net746;gg746;2020-06-16;74953222978;10
747;Ivan747;1988-10-05;nas@tam.net747;gg747;2020-10-02;74953222979;93
748;Ivan748;1969-04-11;nas@tam.net748;gg748;2020-04-26;74953222980;44
749;Ivan749;1996-06-17;nas@tam.net749;gg749;2020-08-25;74953222981;31
750;Ivan750;1966-09-09;nas@tam.net750;gg750;2020-08-23;74953222982;15
751;Ivan751;1993-09-20;nas@tam.net751;gg751;2020-01-25;74953222983;53
752;Ivan752;1955-11-27;nas@tam.net752;gg752;2020-08-20;74953222984;37
753;Ivan753;1996-03-24;nas@tam.net753;gg753;2020-02-16;74953222985;91
754;Ivan754;1960-09-11;nas@tam.net754;gg754;2020-02-19;74953222986;24
755;Ivan755;1991-07-18;nas@tam.net755;gg755;2020-03-26;74953222987;30
756;Ivan756;1964-06-22;nas@tam.net756;gg756;2020-07-14;74953222988;7
757;Ivan757;1971-01-03;nas@tam.net757;gg757;2020-11-27;74953222989;97
758;Ivan758;1969-04-09;nas@tam.net758;gg758;2020-09-10;74953222990;77
759;Ivan759;1955-06-12;nas@tam.net759;gg759;2020-10-27;74953222991;7
760;Ivan760;1988-07-05;nas@tam.net760;gg760;2020-07-01;74953222992;59
761;Ivan761;1994-06-13;nas@tam.net761;gg761;2020-02-10;74953222993;39
762;Ivan762;1993-01-21;nas@tam.net762;gg762;2020-03-28;74953222994;88
763;Ivan763;1998-05-26;nas@tam.net763;gg763;2020-09-17;74953222995;31
764;Ivan764;1982-07-09;nas@tam.net764;gg764;2020-05-19;74953222996;55
765;Ivan765;1973-12-05;nas@tam.net765;gg765;2020-08-20;74953222997;26
766;Ivan766;1991-10-11;nas@tam.net766;gg766;2020-07-13;74953222998;14
767;Ivan767;1971-10-04;nas@tam.net767;gg767;2020-02-07;74953222999;29
768;Ivan768;1983-10-31;nas@tam.net768;gg768;2020-08-22;74953223000;41
769;Ivan769;1994-06-15;nas@tam.net769;gg769;2020-06-17;74953223001;47
770;Ivan770;1958-04-22;nas@tam.net770;gg770;2020-04-25;74953223002;69
771;Ivan771;1972-07-03;nas@tam.net771;gg771;2020-11-25;74953223003;60
772;Ivan772;1988-12-14;nas@tam.net772;gg772;2020-02-25;74953223004;8
773;Ivan773;1981-03-14;nas@tam.net773;gg773;2020-07-01;74953223005;97
774;Ivan774;1981-02-02;nas@tam.net774;gg774;2020-11-10;74953223006;84
775;Ivan775;1990-03-02;nas@tam.net775;gg775;2020-05-23;74953223007;12
776;Ivan776;1988-01-01;nas@tam.net776;gg776;2020-03-21;74953223008;29
777;Ivan777;1958-08-22;nas@tam.net777;gg777;2020-06-12;74953223009;28
778;Ivan778;1954-01-11;nas@tam.net778;gg778;2020-10-12;74953223010;4
779;Ivan779;1995-03-09;nas@tam.net779;gg779;2020-05-06;74953223011;20
780;Ivan780;1952-12-31;nas@tam.net780;gg780;2020-11-04;74953223012;7
781;Ivan781;1993-05-26;nas@tam.net781;gg781;2020-12-16;74953223013;28
782;Ivan782;1968-06-10;nas@tam.net782;gg782;2020-01-09;74953223014;22
783;Ivan783;1963-02-20;nas@tam.net783;gg783;2020-04-28;74953223015;72
784;Ivan784;1952-01-16;nas@tam.net784;gg784;2020-02-20;74953223016;38
785;Ivan785;1952-01-28;nas@tam.net785;gg785;2020-08-17;74953223017;76
786;Ivan786;1964-01-31;nas@tam.net786;gg786;2020-09-21;74953223018;18
787;Ivan787;1965-09-20;nas@tam.net787;gg787;2020-08-19;74953223019;30
788;Ivan788;1965-06-02;nas@tam.net788;gg788;2020-07-11;74953223020;34
789;Ivan789;1998-09-30;nas@tam.net789;gg789;2020-03-04;74953223021;92
790;Ivan790;1987-08-02;nas@tam.net790;gg790;2020-08-18;74953223022;34
791;Ivan791;1951-03-20;nas@tam.net791;gg791;2020-05-01;74953223023;30
792;Ivan792;1991-05-28;nas@tam.net792;gg792;2020-01-15;74953223024;20
793;Ivan793;1969-04-09;nas@tam.net793;gg793;2020-01-05;74953223025;87
794;Ivan794;1983-08-31;nas@tam.net794;gg794;2020-12-27;74953223026;19
795;Ivan795;1961-03-16;nas@tam.net795;gg795;2020-10-09;74953223027;61
796;Ivan796;1989-11-22;nas@tam.net796;gg796;2020-02-06;74953223028;84
797;Ivan797;1955-02-16;nas@tam.net797;gg797;2020-02-28;74953223029;96
798;Ivan798;1969-03-15;nas@tam.net798;gg798;2020-02-01;74953223030;93
799;Ivan799;1960-04-07;nas@tam.net799;gg799;2020-10-01;74953223031;65
800;Ivan800;1967-02-03;nas@tam.net800;gg800;2020-10-07;74953223032;68
801;Ivan801;1975-07-08;nas@tam.net801;gg801;2020-05-21;74953223033;29
802;Ivan802;1974-07-24;nas@tam.net802;gg802;2020-12-14;74953223034;89
803;Ivan803;1986-06-17;nas@tam.net803;gg803;2020-05-22;74953223035;49
804;Ivan804;1983-06-05;nas@tam.net804;gg804;2020-06-07;74953223036;23
805;Ivan805;1976-11-30;nas@tam.net805;gg805;2020-11-13;74953223037;18
806;Ivan806;1959-02-27;nas@tam.net806;gg806;2020-09-10;74953223038;3
807;Ivan807;1975-10-06;nas@tam.net807;gg807;2020-10-21;74953223039;7
808;Ivan808;1952-11-27;nas@tam.net808;gg808;2020-07-07;74953223040;21
809;Ivan809;1993-03-06;nas@tam.net809;gg809;2020-01-14;74953223041;6
810;Ivan810;1950-07-12;nas@tam.net810;gg810;2020-12-14;74953223042;21
811;Ivan811;1995-06-07;nas@tam.net811;gg811;2020-08-18;74953223043;37
812;Ivan812;1962-06-12;nas@tam.net812;gg812;2020-05-13;74953223044;73
813;Ivan813;1987-11-17;nas@tam.net813;gg813;2020-02-26;74953223045;74
814;Ivan814;1950-11-28;nas@tam.net814;gg814;2020-02-15;74953223046;9
815;Ivan815;1983-09-22;nas@tam.net815;gg815;2020-12-15;74953223047;71
816;Ivan816;1990-07-24;nas@tam.net816;gg816;2020-05-13;74953223048;87
817;Ivan817;1964-09-28;nas@tam.net817;gg817;2020-01-23;74953223049;10
818;Ivan818;1993-02-18;nas@tam.net818;gg818;2020-09-13;74953223050;13
819;Ivan819;1969-07-16;nas@tam.net819;gg819;2020-04-21;74953223051;45
820;Ivan820;1975-06-22;nas@tam.net820;gg820;2020-10-17;74953223052;80
821;Ivan821;1983-09-23;nas@tam.net821;gg821;2020-10-01;74953223053;84
822;Ivan822;1986-07-07;nas@tam.net822;gg822;2020-02-17;74953223054;57
823;Ivan823;1971-11-06;nas@tam.net823;gg823;2020-09-08;74953223055;8
824;Ivan824;1975-07-26;nas@tam.net824;gg824;2020-10-25;74953223056;12
825;Ivan825;1970-05-10;nas@tam.net825;gg825;2020-01-27;74953223057;88
826;Ivan826;1996-09-23;nas@tam.net826;gg826;2020-11-22;74953223058;28
827;Ivan827;1951-08-01;nas@tam.net827;gg827;2020-07-10;74953223059;70
828;Ivan828;1989-10-30;nas@tam.net828;gg828;2020-06-01;74953223060;88
829;Ivan829;1986-11-26;nas@tam.net829;gg829;2020-05-25;74953223061;2
830;Ivan830;1965-11-29;nas@tam.net830;gg830;2020-01-15;74953223062;15
831;Ivan831;1978-01-28;nas@tam.net831;gg831;2020-05-11;74953223063;6
832;Ivan832;1997-06-19;nas@tam.net832;gg832;2020-08-07;74953223064;10
833;Ivan833;1997-06-19;nas@tam.net833;gg833;2020-06-11;74953223065;100
834;Ivan834;1981-06-25;nas@tam.net834;gg834;2020-11-19;74953223066;64
835;Ivan835;1963-11-08;nas@tam.net835;gg835;2020-01-26;74953223067;71
836;Ivan836;1998-06-12;nas@tam.net836;gg836;2020-12-14;74953223068;4
837;Ivan837;1951-02-20;nas@tam.net837;gg837;2020-04-05;74953223069;91
838;Ivan838;1966-08-30;nas@tam.net838;gg838;2020-09-06;74953223070;72
839;Ivan839;1961-04-20;nas@tam.net839;gg839;2020-03-08;74953223071;86
840;Ivan840;1981-02-07;nas@tam.net840;gg840;2020-03-29;74953223072;54
841;Ivan841;1961-12-14;nas@tam.net841;gg841;2020-05-25;74953223073;62
842;Ivan842;1966-10-23;nas@tam.net842;gg842;2020-03-08;74953223074;86
843;Ivan843;1970-03-17;nas@tam.net843;gg843;2020-06-05;74953223075;100
844;Ivan844;1964-01-22;nas@tam.net844;gg844;2020-09-24;74953223076;49
845;Ivan845;1976-10-23;nas@tam.net845;gg845;2020-01-13;74953223077;94
846;Ivan846;1976-06-07;nas@tam.net846;gg846;2020-07-23;74953223078;35
847;Ivan847;1993-03-20;nas@tam.net847;gg847;2020-06-08;74953223079;2
848;Ivan848;1992-10-27;nas@tam.net848;gg848;2020-03-25;74953223080;61
849;Ivan849;1996-03-16;nas@tam.net849;gg849;2020-09-25;74953223081;68
850;Ivan850;1956-10-13;nas@tam.net850;gg850;2020-07-09;74953223082;62
851;Ivan851;1998-02-02;nas@tam.net851;gg851;2020-06-23;74953223083;26
852;Ivan852;1952-12-14;nas@tam.net852;gg852;2020-06-12;74953223084;7
853;Ivan853;1957-01-05;nas@tam.net853;gg853;2020-04-20;74953223085;91
854;Ivan854;1981-07-02;nas@tam.net854;gg854;2020-08-29;74953223086;23
855;Ivan855;1954-08-14;nas@tam.net855;gg855;2020-08-09;74953223087;13
856;Ivan856;1950-06-11;nas@tam.net856;gg856;2020-11-11;74953223088;12
857;Ivan857;1955-10-10;nas@tam.net857;gg857;2020-05-28;74953223089;56
858;Ivan858;1968-08-12;nas@tam.net858;gg858;2020-07-23;74953223090;63
859;Ivan859;1959-05-03;nas@tam.net859;gg859;2020-10-14;74953223091;44
860;Ivan860;1962-10-23;nas@tam.net860;gg860;2020-03-15;74953223092;61
861;Ivan861;1979-11-30;nas@tam.net861;gg861;2020-03-22;74953223093;41
862;Ivan862;1958-06-09;nas@tam.net862;gg862;2020-12-24;74953223094;32
863;Ivan863;1973-03-14;nas@tam.net863;gg863;2020-01-04;74953223095;45
864;Ivan864;1953-03-14;nas@tam.net864;gg864;2020-08-21;74953223096;3
865;Ivan865;1965-02-20;nas@tam.net865;gg865;2020-07-29;74953223097;81
866;Ivan866;1981-12-19;nas@tam.net866;gg866;2020-01-20;74953223098;60
867;Ivan867;1979-10-09;nas@tam.net867;gg867;2020-10-30;74953223099;59
868;Ivan868;1988-08-24;nas@tam.net868;gg868;2020-10-14;74953223100;20
869;Ivan869;1991-11-08;nas@tam.net869;gg869;2020-03-21;74953223101;68
870;Ivan870;1979-07-12;nas@tam.net870;gg870;2020-07-10;74953223102;51
871;Ivan871;1956-11-17;nas@tam.net871;gg871;2020-02-19;74953223103;14
872;Ivan872;1974-04-05;nas@tam.net872;gg872;2020-08-10;74953223104;20
873;Ivan873;1951-05-11;nas@tam.net873;gg873;2020-04-20;74953223105;34
874;Ivan874;1976-07-19;nas@tam.net874;gg874;2020-12-31;74953223106;56
875;Ivan875;1973-01-01;nas@tam.net875;gg875;2020-11-11;74953223107;25
876;Ivan876;1964-01-10;nas@tam.net876;gg876;2020-09-20;74953223108;95
877;Ivan877;1957-01-22;nas@tam.net877;gg877;2020-03-13;74953223109;3
878;Ivan878;1954-08-18;nas@tam.net878;gg878;2020-05-04;74953223110;48
879;Ivan879;1998-07-24;nas@tam.net879;gg879;2020-01-09;74953223111;66
880;Ivan880;1979-04-02;nas@tam.net880;gg880;2020-05-15;74953223112;83
881;Ivan881;1981-01-16;nas@tam.net881;gg881;2020-12-31;74953223113;95
882;Ivan882;1974-09-25;nas@tam.net882;gg882;2020-11-10;74953223114;19
883;Ivan883;1984-02-19;nas@tam.net883;gg883;2020-04-21;74953223115;6
884;Ivan884;1950-07-24;nas@tam.net884;gg884;2020-11-10;74953223116;79
885;Ivan885;1987-11-16;nas@tam.net885;gg885;2020-08-24;74953223117;73
886;Ivan886;1951-01-25;nas@tam.net886;gg886;2020-12-24;74953223118;81
887;Ivan887;1993-02-23;nas@tam.net887;gg887;2020-03-13;74953223119;73
888;Ivan888;1984-11-21;nas@tam.net888;gg888;2020-04-24;74953223120;20
889;Ivan889;1974-08-23;nas@tam.net889;gg889;2020-06-16;74953223121;57
890;Ivan890;1963-09-21;nas@tam.net890;gg890;2020-03-16;74953223122;5
891;Ivan891;1977-08-19;nas@tam.net891;gg891;2020-12-04;74953223123;71
892;Ivan892;1973-07-12;nas@tam.net892;gg892;2020-06-09;74953223124;39
893;Ivan893;1991-07-22;nas@tam.net893;gg893;2020-05-07;74953223125;53
894;Ivan894;1986-08-17;nas@tam.net894;gg894;2020-07-04;74953223126;1
895;Ivan895;1966-02-05;nas@tam.net895;gg895;2020-10-09;74953223127;30
896;Ivan896;1958-12-14;nas@tam.net896;gg896;2020-03-06;74953223128;94
897;Ivan897;1953-10-05;nas@tam.net897;gg897;2020-10-31;74953223129;1
898;Ivan898;1976-07-18;nas@tam.net898;gg898;2020-10-22;74953223130;77
899;Ivan899;1968-11-17;nas@tam.net899;gg899;2020-03-23;74953223131;96
900;Ivan900;1959-11-28;nas@tam.net900;gg900;2020-03-19;74953223132;82
901;Ivan901;1959-12-30;nas@tam.net901;gg901;2020-03-14;74953223133;27
902;Ivan902;1955-08-02;nas@tam.net902;gg902;2020-06-16;74953223134;77
903;Ivan903;1993-02-18;nas@tam.net903;gg903;2020-02-04;74953223135;21
904;Ivan904;1982-02-04;nas@tam.net904;gg904;2020-11-02;74953223136;13
905;Ivan905;1966-07-23;nas@tam.net905;gg905;2020-03-14;74953223137;99
906;Ivan906;1973-12-26;nas@tam.net906;gg906;2020-01-30;74953223138;48
907;Ivan907;1954-02-07;nas@tam.net907;gg907;2020-06-27;74953223139;80
908;Ivan908;1963-09-06;nas@tam.net908;gg908;2020-10-23;74953223140;60
909;Ivan909;1974-09-23;nas@tam.net909;gg909;2020-05-21;74953223141;18
910;Ivan910;1980-10-30;nas@tam.net910;gg910;2020-10-11;74953223142;14
911;Ivan911;1959-06-14;nas@tam.net911;gg911;2020-11-06;74953223143;80
912;Ivan912;1991-07-25;nas@tam.net912;gg912;2020-02-17;74953223144;87
913;Ivan913;1984-01-27;nas@tam.net913;gg913;2020-05-28;74953223145;49
914;Ivan914;1951-09-02;nas@tam.net914;gg914;2020-11-07;74953223146;32
915;Ivan915;1956-09-16;nas@tam.net915;gg915;2020-09-29;74953223147;11
916;Ivan916;1980-06-13;nas@tam.net916;gg916;2020-02-12;74953223148;56
917;Ivan917;1996-05-20;nas@tam.net917;gg917;2020-09-14;74953223149;45
918;Ivan918;1962-08-13;nas@tam.net918;gg918;2020-06-30;74953223150;55
919;Ivan919;1997-05-13;nas@tam.net919;gg919;2020-03-12;74953223151;70
920;Ivan920;1962-07-15;nas@tam.net920;gg920;2020-02-13;74953223152;6
921;Ivan921;1999-05-07;nas@tam.net921;gg921;2020-01-07;74953223153;25
922;Ivan922;1957-06-29;nas@tam.net922;gg922;2020-08-22;74953223154;71
923;Ivan923;1992-01-17;nas@tam.net923;gg923;2020-06-28;74953223155;58
924;Ivan924;1956-09-20;nas@tam.net924;gg924;2020-01-20;74953223156;66
925;Ivan925;1995-07-19;nas@tam.net925;gg925;2020-04-06;74953223157;18
926;Ivan926;1981-12-22;nas@tam.net926;gg926;2020-03-03;74953223158;95
927;Ivan927;1959-02-08;nas@tam.net927;gg927;2020-03-23;74953223159;23
928;Ivan928;1983-01-01;nas@tam.net928;gg928;2020-05-22;74953223160;33
929;Ivan929;1976-04-03;nas@tam.net929;gg929;2020-08-23;74953223161;98
930;Ivan930;1954-05-11;nas@tam.net930;gg930;2020-07-12;74953223162;53
931;Ivan931;1953-12-17;nas@tam.net931;gg931;2020-06-16;74953223163;73
932;Ivan932;1998-01-03;nas@tam.net932;gg932;2020-07-21;74953223164;18
933;Ivan933;1950-03-15;nas@tam.net933;gg933;2020-01-16;74953223165;27
934;Ivan934;1961-12-23;nas@tam.net934;gg934;2020-12-19;74953223166;97
935;Ivan935;1998-10-03;nas@tam.net935;gg935;2020-08-08;74953223167;70
936;Ivan936;1966-06-29;nas@tam.net936;gg936;2020-12-24;74953223168;6
937;Ivan937;1967-06-03;nas@tam.net937;gg937;2020-12-06;74953223169;21
938;Ivan938;1990-07-07;nas@tam.net938;gg938;2020-04-24;74953223170;90
939;Ivan939;1987-05-30;nas@tam.net939;gg939;2020-08-26;74953223171;9
940;Ivan940;1979-08-21;nas@tam.net940;gg940;2020-03-01;74953223172;56
941;Ivan941;1957-01-28;nas@tam.net941;gg941;2020-08-18;74953223173;74
942;Ivan942;1995-07-12;nas@tam.net942;gg942;2020-10-04;74953223174;64
943;Ivan943;1954-01-31;nas@tam.net943;gg943;2020-12-15;74953223175;37
944;Ivan944;1979-12-03;nas@tam.net944;gg944;2020-04-25;74953223176;26
945;Ivan945;1969-12-04;nas@tam.net945;gg945;2020-01-18;74953223177;14
946;Ivan946;1964-10-30;nas@tam.net946;gg946;2020-11-24;74953223178;21
947;Ivan947;1975-01-26;nas@tam.net947;gg947;2020-01-09;74953223179;34
948;Ivan948;1958-10-11;nas@tam.net948;gg948;2020-10-20;74953223180;90
949;Ivan949;1985-01-22;nas@tam.net949;gg949;2020-06-27;74953223181;60
950;Ivan950;1964-08-27;nas@tam.net950;gg950;2020-12-25;74953223182;67
951;Ivan951;1955-06-24;nas@tam.net951;gg951;2020-02-26;74953223183;5
952;Ivan952;1976-07-12;nas@tam.net952;gg952;2020-01-28;74953223184;0
953;Ivan953;1963-02-18;nas@tam.net953;gg953;2020-07-16;74953223185;7
954;Ivan954;1966-09-07;nas@tam.net954;gg954;2020-05-10;74953223186;78
955;Ivan955;1988-09-04;nas@tam.net955;gg955;2020-11-22;74953223187;4
956;Ivan956;1952-08-01;nas@tam.net956;gg956;2020-09-19;74953223188;20
957;Ivan957;1953-11-20;nas@tam.net957;gg957;2020-07-10;74953223189;49
958;Ivan958;1956-11-26;nas@tam.net958;gg958;2020-05-19;74953223190;41
959;Ivan959;1999-12-07;nas@tam.net959;gg959;2020-06-20;74953223191;35
960;Ivan960;1953-11-21;nas@tam.net960;gg960;2020-12-13;74953223192;23
961;Ivan961;1988-03-24;nas@tam.net961;gg961;2020-05-15;74953223193;53
962;Ivan962;1968-02-01;nas@tam.net962;gg962;2020-08-30;74953223194;78
963;Ivan963;1976-03-27;nas@tam.net963;gg963;2020-08-17;74953223195;48
964;Ivan964;1981-05-30;nas@tam.net964;gg964;2020-01-02;74953223196;96
965;Ivan965;1967-01-11;nas@tam.net965;gg965;2020-09-11;74953223197;3
966;Ivan966;1986-07-08;nas@tam.net966;gg966;2020-08-17;74953223198;42
967;Ivan967;1981-09-22;nas@tam.net967;gg967;2020-08-18;74953223199;12
968;Ivan968;1967-05-10;nas@tam.net968;gg968;2020-03-21;74953223200;89
969;Ivan969;1990-12-04;nas@tam.net969;gg969;2020-02-13;74953223201;77
970;Ivan970;1993-01-06;nas@tam.net970;gg970;2020-04-25;74953223202;69
971;Ivan971;1956-04-01;nas@tam.net971;gg971;2020-02-01;74953223203;1
972;Ivan972;1952-11-14;nas@tam.net972;gg972;2020-09-13;74953223204;29
973;Ivan973;1964-02-17;nas@tam.net973;gg973;2020-11-08;74953223205;76
974;Ivan974;1999-10-16;nas@tam.net974;gg974;2020-05-17;74953223206;47
975;Ivan975;1953-01-02;nas@tam.net975;gg975;2020-02-10;74953223207;55
976;Ivan976;1992-09-28;nas@tam.net976;gg976;2020-04-10;74953223208;13
977;Ivan977;1959-01-16;nas@tam.net977;gg977;2020-02-04;74953223209;91
978;Ivan978;1999-11-11;nas@tam.net978;gg978;2020-02-05;74953223210;39
979;Ivan979;1992-08-20;nas@tam.net979;gg979;2020-08-29;74953223211;96
980;Ivan980;1968-11-13;nas@tam.net980;gg980;2020-08-13;74953223212;90
981;Ivan981;1956-08-22;nas@tam.net981;gg981;2020-01-25;74953223213;21
982;Ivan982;1950-07-05;nas@tam.net982;gg982;2020-09-13;74953223214;61
983;Ivan983;1965-01-27;nas@tam.net983;gg983;2020-01-28;74953223215;90
984;Ivan984;1973-04-27;nas@tam.net984;gg984;2020-12-08;74953223216;95
985;Ivan985;1984-12-30;nas@tam.net985;gg985;2020-10-08;74953223217;2
986;Ivan986;1994-11-29;nas@tam.net986;gg986;2020-11-14;74953223218;31
987;Ivan987;1980-12-18;nas@tam.net987;gg987;2020-06-10;74953223219;11
988;Ivan988;1981-07-03;nas@tam.net988;gg988;2020-03-30;74953223220;28
989;Ivan989;1979-04-29;nas@tam.net989;gg989;2020-09-12;74953223221;25
990;Ivan990;1989-02-03;nas@tam.net990;gg990;2020-02-01;74953223222;62
991;Ivan991;1952-11-21;nas@tam.net991;gg991;2020-05-20;74953223223;86
992;Ivan992;1992-02-01;nas@tam.net992;gg992;2020-07-12;74953223224;95
993;Ivan993;1954-04-20;nas@tam.net993;gg993;2020-09-08;74953223225;76
994;Ivan994;1989-05-20;nas@tam.net994;gg994;2020-05-26;74953223226;82
995;Ivan995;1980-11-14;nas@tam.net995;gg995;2020-02-21;74953223227;78
996;Ivan996;1986-10-21;nas@tam.net996;gg996;2020-10-03;74953223228;97
